scenario,craft,weekStart,availableFte,allocatedFte,utilization,status
Committed + proposed,design,2026-09-28,6.25,1.08,17%,green
Committed + proposed,design,2026-10-05,6.25,3.3000000000000003,53%,green
Committed + proposed,design,2026-10-12,6.25,4,64%,green
Committed + proposed,design,2026-10-19,6.25,4.7,75%,green
Committed + proposed,design,2026-10-26,6.25,5,80%,green
Committed + proposed,design,2026-11-02,6.25,5.2,83%,amber
Committed + proposed,design,2026-11-09,6.25,4.7,75%,green
Committed + proposed,design,2026-11-16,6.25,4.699999999999999,75%,green
Committed + proposed,design,2026-11-23,6.25,3.6999999999999997,59%,green
Committed + proposed,design,2026-11-30,6.25,3.5,56%,green
Committed + proposed,design,2026-12-07,6.25,2.6999999999999997,43%,green
Committed + proposed,design,2026-12-14,6.25,1.9,30%,green
Committed + proposed,design,2026-12-21,6.25,0.4,6%,green
Committed + proposed,design,2026-12-28,6.25,0.32,5%,green
Committed + proposed,research,2026-09-28,2.39,0.48,20%,green
Committed + proposed,research,2026-10-05,2.39,1.8,75%,green
Committed + proposed,research,2026-10-12,2.39,2.5000000000000004,105%,red
Committed + proposed,research,2026-10-19,2.39,2.7000000000000006,113%,red
Committed + proposed,research,2026-10-26,2.39,2.900000000000001,121%,red
Committed + proposed,research,2026-11-02,2.39,3.3000000000000007,138%,red
Committed + proposed,research,2026-11-09,2.39,3.1000000000000005,130%,red
Committed + proposed,research,2026-11-16,2.39,3.4000000000000004,142%,red
Committed + proposed,research,2026-11-23,2.39,2.9000000000000004,121%,red
Committed + proposed,research,2026-11-30,2.39,2.4,100%,red
Committed + proposed,research,2026-12-07,2.39,2,84%,amber
Committed + proposed,research,2026-12-14,2.39,1.3000000000000003,54%,green
Committed + proposed,research,2026-12-21,2.39,0.4,17%,green
Committed + proposed,research,2026-12-28,2.39,0.32,13%,green
Committed + proposed,content,2026-09-28,2.4400000000000004,0.6000000000000001,25%,green
Committed + proposed,content,2026-10-05,2.4400000000000004,1.9000000000000001,78%,green
Committed + proposed,content,2026-10-12,2.4400000000000004,2.1,86%,amber
Committed + proposed,content,2026-10-19,2.4400000000000004,2.3,94%,amber
Committed + proposed,content,2026-10-26,2.4400000000000004,2.5,102%,red
Committed + proposed,content,2026-11-02,2.4400000000000004,2.6,107%,red
Committed + proposed,content,2026-11-09,2.4400000000000004,2.5,102%,red
Committed + proposed,content,2026-11-16,2.4400000000000004,2.4,98%,amber
Committed + proposed,content,2026-11-23,2.4400000000000004,2,82%,amber
Committed + proposed,content,2026-11-30,2.4400000000000004,1.9,78%,green
Committed + proposed,content,2026-12-07,2.4400000000000004,1.6,66%,green
Committed + proposed,content,2026-12-14,2.4400000000000004,0.9,37%,green
Committed + proposed,content,2026-12-21,2.4400000000000004,0.2,8%,green
Committed + proposed,content,2026-12-28,2.4400000000000004,0.16,7%,green
Committed + proposed,design_eng,2026-09-28,4.45,0.72,16%,green
Committed + proposed,design_eng,2026-10-05,4.45,2.4,54%,green
Committed + proposed,design_eng,2026-10-12,4.45,2.9,65%,green
Committed + proposed,design_eng,2026-10-19,4.45,3.5,79%,green
Committed + proposed,design_eng,2026-10-26,4.45,4.1000000000000005,92%,amber
Committed + proposed,design_eng,2026-11-02,4.45,4.800000000000001,108%,red
Committed + proposed,design_eng,2026-11-09,4.45,4.800000000000001,108%,red
Committed + proposed,design_eng,2026-11-16,4.45,4.7,106%,red
Committed + proposed,design_eng,2026-11-23,4.45,4.199999999999999,94%,amber
Committed + proposed,design_eng,2026-11-30,4.45,4,90%,amber
Committed + proposed,design_eng,2026-12-07,4.45,3.7,83%,amber
Committed + proposed,design_eng,2026-12-14,4.45,3.2,72%,green
Committed + proposed,design_eng,2026-12-21,4.45,0.3,7%,green
Committed + proposed,design_eng,2026-12-28,4.45,0.24,5%,green
