scenario,craft,weekStart,availableFte,allocatedFte,utilization,status
Committed,design,2026-09-28,6.25,1.08,17%,green
Committed,design,2026-10-05,6.25,3.3000000000000003,53%,green
Committed,design,2026-10-12,6.25,4,64%,green
Committed,design,2026-10-19,6.25,4.7,75%,green
Committed,design,2026-10-26,6.25,5,80%,green
Committed,design,2026-11-02,6.25,5.2,83%,amber
Committed,design,2026-11-09,6.25,4.7,75%,green
Committed,design,2026-11-16,6.25,4.3,69%,green
Committed,design,2026-11-23,6.25,3.3,53%,green
Committed,design,2026-11-30,6.25,3.1,50%,green
Committed,design,2026-12-07,6.25,2.3,37%,green
Committed,design,2026-12-14,6.25,1.5,24%,green
Committed,design,2026-12-21,6.25,0,0%,green
Committed,design,2026-12-28,6.25,0,0%,green
Committed,research,2026-09-28,2.39,0.48,20%,green
Committed,research,2026-10-05,2.39,1.8,75%,green
Committed,research,2026-10-12,2.39,2.5000000000000004,105%,red
Committed,research,2026-10-19,2.39,2.7000000000000006,113%,red
Committed,research,2026-10-26,2.39,2.900000000000001,121%,red
Committed,research,2026-11-02,2.39,3.3000000000000007,138%,red
Committed,research,2026-11-09,2.39,3.1000000000000005,130%,red
Committed,research,2026-11-16,2.39,3.0000000000000004,126%,red
Committed,research,2026-11-23,2.39,2.5,105%,red
Committed,research,2026-11-30,2.39,2,84%,amber
Committed,research,2026-12-07,2.39,1.6,67%,green
Committed,research,2026-12-14,2.39,0.9,38%,green
Committed,research,2026-12-21,2.39,0,0%,green
Committed,research,2026-12-28,2.39,0,0%,green
Committed,content,2026-09-28,2.4400000000000004,0.6000000000000001,25%,green
Committed,content,2026-10-05,2.4400000000000004,1.9000000000000001,78%,green
Committed,content,2026-10-12,2.4400000000000004,2.1,86%,amber
Committed,content,2026-10-19,2.4400000000000004,2.3,94%,amber
Committed,content,2026-10-26,2.4400000000000004,2.5,102%,red
Committed,content,2026-11-02,2.4400000000000004,2.6,107%,red
Committed,content,2026-11-09,2.4400000000000004,2.5,102%,red
Committed,content,2026-11-16,2.4400000000000004,2.2,90%,amber
Committed,content,2026-11-23,2.4400000000000004,1.8,74%,green
Committed,content,2026-11-30,2.4400000000000004,1.7,70%,green
Committed,content,2026-12-07,2.4400000000000004,1.4000000000000001,57%,green
Committed,content,2026-12-14,2.4400000000000004,0.7000000000000001,29%,green
Committed,content,2026-12-21,2.4400000000000004,0,0%,green
Committed,content,2026-12-28,2.4400000000000004,0,0%,green
Committed,design_eng,2026-09-28,4.45,0.72,16%,green
Committed,design_eng,2026-10-05,4.45,2.4,54%,green
Committed,design_eng,2026-10-12,4.45,2.9,65%,green
Committed,design_eng,2026-10-19,4.45,3.5,79%,green
Committed,design_eng,2026-10-26,4.45,4.1000000000000005,92%,amber
Committed,design_eng,2026-11-02,4.45,4.800000000000001,108%,red
Committed,design_eng,2026-11-09,4.45,4.800000000000001,108%,red
Committed,design_eng,2026-11-16,4.45,4.4,99%,amber
Committed,design_eng,2026-11-23,4.45,3.8999999999999995,88%,amber
Committed,design_eng,2026-11-30,4.45,3.7,83%,amber
Committed,design_eng,2026-12-07,4.45,3.4000000000000004,76%,green
Committed,design_eng,2026-12-14,4.45,2.9000000000000004,65%,green
Committed,design_eng,2026-12-21,4.45,0,0%,green
Committed,design_eng,2026-12-28,4.45,0,0%,green
