Record ID,Name,Project owner ID,Contributor IDs,Dependency IDs,Importance,Project health,Action required,Latest update,Business priority,Legacy owner name,Expected outcome,Delivery status,Start date,End date,Commitment,Design effort,Research effort,Content effort,Design engineering effort
opening,Account opening redesign,maya,sofia|leo|oliver,components,Top priority,Decision required,Decide whether the new identity check belongs in this release or the next one.,The shorter application has been tested. The team is ready to finalize the identity-check experience.,Client onboarding,Maya Chen,Help new clients open an account without getting stuck or starting over.,In progress,2026-10-01,2026-11-20,Committed,1,0.5,0.4,0.5
advisor,Advisor workspace,jordan,sofia|grace,,Top priority,On track,,Advisors have reviewed the new workspace. The team is refining the meeting-preparation flow.,Advisor productivity,Jordan Ellis,Bring the right client information into one place before every advisor meeting.,In progress,2026-10-01,2026-12-04,Committed,0.8,0.4,0.3,0.3
retirement,Retirement guidance,leo,ethan|maya,,Top priority,At risk,,Participant recruitment is slower than expected. The research lead is adjusting the interview plan.,Client financial planning,Leo Martinez,"Make retirement choices easier to understand, so clients know what to do next.",In progress,2026-10-12,2026-12-11,Committed,0.3,0.5,0.6,0.1
components,Accessible component library,oliver,isabel|grace,,High priority,On track,,Forms and navigation are ready for adoption. Account opening and mobile teams are coordinating the rollout.,Shared experience capabilities,Oliver Grant,"Give every team accessible, reusable components for the journeys clients use most.",In progress,2026-10-01,2026-12-18,Committed,0.3,0.1,0.2,1
insights,Research repository,ethan,amara|jordan,,High priority,On track,,The first set of findings is organized around client journeys. Two teams are trying the search experience.,Shared experience capabilities,Ethan Park,Make existing client research easy to find before teams start new work.,In progress,2026-10-05,2026-11-27,Committed,0.2,0.5,0.1,0.2
mobile,Mobile portfolio overview,nina,noah|leo,components,High priority,At risk,,"The design is progressing, but delivery depends on shared chart and accessibility components.",Client financial planning,Nina Patel,Help clients understand portfolio performance at a glance on their phone.,In progress,2026-10-19,2026-12-18,Committed,0.7,0.2,0.2,0.6
statements,Statement content redesign,grace,theo|maya,,Standard,On track,,The reviewed copy has been handed over to the statements team.,Client financial planning,Grace Liu,Replace confusing statement terminology with language clients can understand.,Completed,2026-10-01,2026-10-09,Committed,0.1,0,0.5,0
coaching,Planning assistant discovery,amara,nina|isabel,,Standard,Not reported,,An early idea for next quarter. The team has not committed to delivery.,Client financial planning,Amara Nwosu,Explore whether guided prompts can help clients take their next planning step.,Planned,2026-11-16,2026-12-31,Proposed,0.4,0.4,0.2,0.3
experience-strategy,UXD product design strategy,tessa,owen|maya|sofia,,Top priority,On track,,Journey reviews are complete. Product Design and Research are validating the proposed investment priorities.,Product experience alignment,Tessa Wu,"Define shared experience principles and a prioritized roadmap across onboarding, advice, and retirement products.",In progress,2026-10-01,2026-11-06,Committed,0.5,0.2,0.1,0
innovation-lab,Service concept pilots,leila,ben|owen|nina,experience-strategy,High priority,On track,,Prototype scenarios are ready. Design Strategy is defining the success criteria with Product Design.,New product opportunities,Leila Haddad,Test two service concepts with clients before committing to product development.,In progress,2026-10-12,2026-12-11,Committed,0.5,0.2,0.1,0.4
conversational-prototype,Conversational planning prototype,ben,aisha|amara|leo,ai-standards,High priority,Decision required,Select one concept and approve the client-testing scope for the next pilot.,Two interaction approaches have been tested with internal reviewers. Client testing is awaiting a scope decision.,New product opportunities,Ben Carter,Evaluate a conversational planning concept with clear handoffs to human support.,In progress,2026-10-26,2026-12-18,Committed,0.3,0.2,0.2,0.6
ai-standards,UX AI interaction standards,aisha,sam|grace|oliver,components,Top priority,On track,,Content Design has reviewed the patterns. Design Systems is preparing the first component examples.,Responsible AI experiences,Aisha Patel,"Define reusable interaction patterns for AI disclosures, source references, user feedback, and error recovery.",In progress,2026-10-05,2026-11-13,Committed,0.4,0.1,0.3,0.4
ai-research,AI-assisted research synthesis,sam,ethan|amara|tessa,insights|ai-standards,High priority,At risk,Confirm researcher availability for dataset review before the pilot starts.,"The evaluation tool is ready, but preparation of the de-identified research dataset is behind schedule.",Shared experience capabilities,Sam Okafor,Pilot AI-assisted research summaries with source citations and researcher review before publication.,In progress,2026-11-02,2026-12-18,Committed,0.2,0.4,0.1,0.7
