scenario,craft,weekStart,availableFte,allocatedFte,utilization,status
Committed,design,2026-09-28,3.0900000000000003,0.8,26%,green
Committed,design,2026-10-05,3.0900000000000003,2,65%,green
Committed,design,2026-10-12,3.0900000000000003,2,65%,green
Committed,design,2026-10-19,3.0900000000000003,2,65%,green
Committed,design,2026-10-26,3.0900000000000003,2,65%,green
Committed,design,2026-11-02,3.0900000000000003,2.5,81%,amber
Committed,design,2026-11-09,3.0900000000000003,2.5,81%,amber
Committed,design,2026-11-16,3.0900000000000003,2.1,68%,green
Committed,design,2026-11-23,3.0900000000000003,2.1,68%,green
Committed,design,2026-11-30,3.0900000000000003,2.1,68%,green
Committed,design,2026-12-07,3.0900000000000003,2.1,68%,green
Committed,design,2026-12-14,3.0900000000000003,1.7,55%,green
Committed,design,2026-12-21,3.0900000000000003,1.7,55%,green
Committed,design,2026-12-28,3.0900000000000003,1.3599999999999999,44%,green
Committed,research,2026-09-28,1.4000000000000001,0.56,40%,green
Committed,research,2026-10-05,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-10-12,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-10-19,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-10-26,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-11-02,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-11-09,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-11-16,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-11-23,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-11-30,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-12-07,1.4000000000000001,1.4000000000000001,100%,amber
Committed,research,2026-12-14,1.4000000000000001,0.8400000000000001,60%,green
Committed,research,2026-12-21,1.4000000000000001,0.8400000000000001,60%,green
Committed,research,2026-12-28,1.4000000000000001,0.6719999999999999,48%,green
Committed,content,2026-09-28,1.4000000000000001,0.4,29%,green
Committed,content,2026-10-05,1.4000000000000001,1,71%,green
Committed,content,2026-10-12,1.4000000000000001,1,71%,green
Committed,content,2026-10-19,1.4000000000000001,1,71%,green
Committed,content,2026-10-26,1.4000000000000001,1,71%,green
Committed,content,2026-11-02,1.4000000000000001,1.2,86%,amber
Committed,content,2026-11-09,1.4000000000000001,1.2,86%,amber
Committed,content,2026-11-16,1.4000000000000001,0.8999999999999999,64%,green
Committed,content,2026-11-23,1.4000000000000001,0.8999999999999999,64%,green
Committed,content,2026-11-30,1.4000000000000001,0.8999999999999999,64%,green
Committed,content,2026-12-07,1.4000000000000001,0.8999999999999999,64%,green
Committed,content,2026-12-14,1.4000000000000001,0.7,50%,green
Committed,content,2026-12-21,1.4000000000000001,0.7,50%,green
Committed,content,2026-12-28,1.4000000000000001,0.56,40%,green
Committed,design_eng,2026-09-28,2.6500000000000004,0.56,21%,green
Committed,design_eng,2026-10-05,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-10-12,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-10-19,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-10-26,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-11-02,2.6500000000000004,2,75%,green
Committed,design_eng,2026-11-09,2.6500000000000004,2,75%,green
Committed,design_eng,2026-11-16,2.6500000000000004,1.5999999999999999,60%,green
Committed,design_eng,2026-11-23,2.6500000000000004,1.5999999999999999,60%,green
Committed,design_eng,2026-11-30,2.6500000000000004,1.5999999999999999,60%,green
Committed,design_eng,2026-12-07,2.6500000000000004,1.5999999999999999,60%,green
Committed,design_eng,2026-12-14,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-12-21,2.6500000000000004,1.4,53%,green
Committed,design_eng,2026-12-28,2.6500000000000004,1.12,42%,green
